Time,Significant_height_of_combined_wind_waves_and_swell_surface,Direction_of_swell_waves_ordered_sequence_of_data,Direction_of_wind_waves_surface,Primary_wave_direction_surface,Secondary_wave_direction_surface,Wind_direction_from_which_blowing_surface,Wind_speed_surface
2015-01-20 00:00:00 CST,1.509999394416809,(missing),(50.3060302734375),(56.76401901245117),(missing),(261.70391845703125),2.8040056228637695
2015-01-20 06:00:00 CST,1.4739996194839478,(missing),(51.59601593017578),(56.94001007080078),(missing),(248.85586547851562),3.159999370574951
2015-01-20 12:00:00 CST,1.4819995164871216,(missing),(56.99601364135742),(65.23800659179688),(missing),(292.5501403808594),2.4239978790283203
2015-01-20 18:00:00 CST,1.461999535560608,(missing),(60.688011169433594),(69.73001098632812),(missing),(38.802162170410156),3.375990152359009
2015-01-21 00:00:00 CST,1.4799994230270386,(missing),(65.48600769042969),(70.98200988769531),(missing),(228.97994995117188),3.3180010318756104
2015-01-21 06:00:00 CST,1.4639997482299805,(missing),(67.9100112915039),(73.85600280761719),(missing),(252.30184936523438),2.6239945888519287
2015-01-21 12:00:00 CST,1.3679999113082886,(missing),(67.41600799560547),(73.81401062011719),(missing),(10.496633529663086),2.339995861053467
2015-01-21 18:00:00 CST,1.275999665260315,(missing),(66.70401000976562),(72.72600555419922),(missing),(56.76420593261719),3.4099957942962646
2015-01-22 00:00:00 CST,1.2819994688034058,(missing),(66.79600524902344),(71.63400268554688),(missing),(224.42578125),2.100003719329834
2015-01-22 06:00:00 CST,1.3819994926452637,(missing),(67.92400360107422),(72.01600646972656),(missing),(252.18975830078125),2.7719974517822266
2015-01-22 12:00:00 CST,1.365999698638916,(missing),(67.2080078125),(71.27001190185547),(missing),(20.170392990112305),2.1800036430358887
2015-01-22 18:00:00 CST,1.3239996433258057,(missing),(65.01201629638672),(69.10001373291016),(missing),(114.8699951171875),1.2200121879577637
2015-01-23 00:00:00 CST,1.36199951171875,(missing),(63.93000793457031),(67.60601043701172),(missing),(239.04779052734375),3.191987991333008
2015-01-23 06:00:00 CST,1.4699993133544922,(missing),(65.35000610351562),(69.88400268554688),(missing),(253.14781188964844),3.0959882736206055
2015-01-23 12:00:00 CST,1.5319994688034058,(missing),(65.22001647949219),(70.2920150756836),(missing),(224.8507537841797),1.9739781618118286
2015-01-23 18:00:00 CST,1.5319994688034058,(missing),(64.63800811767578),(69.62800598144531),(missing),(203.7834014892578),1.8579992055892944
2015-01-24 00:00:00 CST,1.5419994592666626,(missing),(66.40599822998047),(70.66400146484375),(missing),(223.31381225585938),3.289992094039917
2015-01-24 06:00:00 CST,1.5639996528625488,(missing),(67.36000061035156),(70.75601196289062),(missing),(267.34576416015625),2.3179962635040283
2015-01-24 12:00:00 CST,1.4779998064041138,(missing),(65.63801574707031),(69.85801696777344),(missing),(276.00396728515625),4.063999176025391
2015-01-24 18:00:00 CST,1.4139995574951172,(missing),(62.95001220703125),(68.34001159667969),(missing),(95.21382904052734),2.507981300354004
2015-01-25 00:00:00 CST,1.451999545097351,(missing),(61.078006744384766),(66.93400573730469),(missing),(237.0979766845703),2.3680121898651123
2015-01-25 06:00:00 CST,1.4919995069503784,(missing),(61.21200942993164),(68.32799530029297),(missing),(272.9537353515625),3.3379974365234375
