Time,Significant_height_of_combined_wind_waves_and_swell_surface,Direction_of_swell_waves_ordered_sequence_of_data,Primary_wave_direction_surface,Direction_of_wind_waves_surface,Secondary_wave_direction_surface,Wind_speed_surface,Wind_direction_from_which_blowing_surface
2015-01-20 00:00:00 CST,0.8056002855300903,(218.29324340820312),(219.3502197265625),(202.39283752441406),(missing),2.23599910736084,(274.7064514160156)
2015-01-20 06:00:00 CST,0.7544003129005432,(208.94862365722656),(217.68377685546875),(201.6100311279297),(missing),1.7592017650604248,(125.7466812133789)
2015-01-20 12:00:00 CST,0.7404003143310547,(200.93890380859375),(224.90170288085938),(201.9764404296875),(missing),3.970795154571533,(195.37635803222656)
2015-01-20 18:00:00 CST,0.8076004385948181,(189.14761352539062),(234.40927124023438),(206.4808349609375),(missing),5.101205348968506,(224.44320678710938)
2015-01-21 00:00:00 CST,0.758000373840332,(214.11244201660156),(232.46246337890625),(207.3964385986328),(missing),1.2336010932922363,(277.1429443359375)
2015-01-21 06:00:00 CST,0.736800491809845,(217.66246032714844),(233.39845275878906),(208.54603576660156),(missing),2.174800157546997,(215.6473846435547)
2015-01-21 12:00:00 CST,0.7428003549575806,(212.37252807617188),(229.8684539794922),(210.58004760742188),(missing),4.177994251251221,(238.59164428710938)
2015-01-21 18:00:00 CST,0.764000415802002,(242.14227294921875),(226.3440399169922),(211.7320556640625),(missing),3.654804229736328,(235.00843811035156)
2015-01-22 00:00:00 CST,0.7620004415512085,(222.73519897460938),(231.4684295654297),(212.67324829101562),(missing),1.7828031778335571,(296.2491760253906)
2015-01-22 06:00:00 CST,0.7596004009246826,(220.86758422851562),(227.66961669921875),(211.88165283203125),(missing),2.3976011276245117,(348.3411560058594)
2015-01-22 12:00:00 CST,0.7820004820823669,(212.71640014648438),(229.3285369873047),(209.7276611328125),(missing),2.591195583343506,(257.08251953125)
2015-01-22 18:00:00 CST,0.8740004897117615,(216.34837341308594),(224.6368408203125),(207.7880401611328),(missing),4.367605686187744,(222.0916290283203)
2015-01-23 00:00:00 CST,0.8920004367828369,(238.13143920898438),(227.40167236328125),(204.15005493164062),(missing),0.7488002181053162,(247.2456512451172)
2015-01-23 06:00:00 CST,0.9020004272460938,(236.6570587158203),(233.63607788085938),(203.45486450195312),(missing),1.6944013833999634,(346.142822265625)
2015-01-23 12:00:00 CST,0.8980005383491516,(236.18946838378906),(224.67724609375),(205.06764221191406),(missing),3.4939961433410645,(258.1081237792969)
2015-01-23 18:00:00 CST,0.912400484085083,(236.34986877441406),(226.94566345214844),(208.96923828125),(missing),3.361602783203125,(236.13885498046875)
2015-01-24 00:00:00 CST,0.8816004991531372,(237.2462615966797),(229.82884216308594),(210.62445068359375),(missing),1.1332021951675415,(265.0964050292969)
2015-01-24 06:00:00 CST,0.844000518321991,(218.98602294921875),(234.50486755371094),(212.61685180664062),(missing),2.635601282119751,(316.0900573730469)
2015-01-24 12:00:00 CST,0.815600574016571,(191.32839965820312),(227.2696533203125),(215.5012664794922),(missing),3.7303996086120605,(255.9124755859375)
2015-01-24 18:00:00 CST,0.8172004818916321,(253.7706298828125),(227.17764282226562),(217.69805908203125),(missing),3.9264025688171387,(229.39285278320312)
2015-01-25 00:00:00 CST,0.7576005458831787,(217.10513305664062),(228.23724365234375),(217.88966369628906),(missing),1.4387989044189453,(303.616455078125)
2015-01-25 06:00:00 CST,0.7240005135536194,(213.817138671875),(231.30487060546875),(217.53607177734375),(missing),2.504802942276001,(351.5436706542969)
