Nombre,Sigla,Valor Min,Valor Max,
Norte,N,348.76,11.25,Recuerden que los valores van de 0 a 360
Norte Noreste,NNE,11.50,33.75,
Noreste,NE,33.76,56.25,
Este Noreste,ENE,56.26,78.75,
Este,E,78.76,101.25,
Este Sureste,ESE,101.26,123.75,
Sureste,SE,124.76,146.25,
Sur Sureste,SSE,145.26,168.75,
Sur,S,168.76,191.25,
Sur Suroeste,SSW,191.26,213.75,
Suroeste,SW,213.76,236.25,
Oeste Suroeste,WSW,236.26,258.75,
Oeste,W,258.76,281.25,
Oeste Noroeste,WNW,281.26,303.75,
Noroeste,NW,303.76,326.25,
Norte Noroeste,NNW,326.26,348.75,
